,keyword,Relative_Frequency.19,Relative_Frequency
0,ability,2.791113095902646e-05,0.0001454545454545
1,absence,2.791113095902646e-05,0.0001454545454545
2,access,0.0004186669643853,0.0010181818181818
3,accordance,0.00114435636932,0.0068363636363636
4,account,0.0008373339287707,0.005090909090909
5,accountability,5.582226191805292e-05,0.0001454545454545
6,accounting,8.373339287707937e-05,0.001890909090909
7,accounts,0.0002512001786312,0.0001454545454545
8,accuracy,2.791113095902646e-05,0.000290909090909
9,achievement,0.0011722675002791,0.0027636363636363
10,acquisition,2.791113095902646e-05,0.000290909090909
11,action,0.0004744892263034,0.0059636363636363
12,actions,0.0004744892263034,0.0040727272727272
13,activities,0.003209780060288,0.0097454545454545
14,activity,0.0005582226191805,0.0088727272727272
15,adaptation,5.582226191805292e-05,0.009890909090909
16,addition,0.0004186669643853,0.0010181818181818
17,address,2.791113095902646e-05,0.0016
18,adjustment,5.582226191805292e-05,0.0007272727272727
19,adjustments,2.791113095902646e-05,0.0059636363636363
20,administer,2.791113095902646e-05,0.0001454545454545
21,advance,2.791113095902646e-05,0.000290909090909
22,advice,2.791113095902646e-05,0.0021818181818181
23,agencies,0.0001674667857541,0.0001454545454545
24,aggregate,5.582226191805292e-05,0.0001454545454545
25,agreement,0.0005303114882215,0.0184727272727272
26,aims,2.791113095902646e-05,0.0001454545454545
27,alia,5.582226191805292e-05,0.0011636363636363
28,align,2.791113095902646e-05,0.0001454545454545
29,ambition,2.791113095902646e-05,0.0026181818181818
30,amendments,8.373339287707937e-05,0.0001454545454545
31,amount,0.0006419560120576,0.0010181818181818
32,annual,0.0009489784526068,0.0008727272727272
33,application,0.0002512001786312,0.001890909090909
34,apply,2.791113095902646e-05,0.0001454545454545
35,appreciation,2.791113095902646e-05,0.0001454545454545
36,approach,0.0008931561906888,0.0048
37,approaches,0.0002512001786312,0.0074181818181818
38,approval,0.0001953779167131,0.0021818181818181
39,april,0.0002232890476722,0.0001454545454545
40,areas,0.0019258680361728,0.0007272727272727
41,arrangements,0.0001395556547951,0.0017454545454545
42,article,8.373339287707937e-05,0.0184727272727272
43,assessment,0.0009489784526068,0.0011636363636363
44,assistance,8.373339287707937e-05,0.0007272727272727
45,assurance,0.0006698671430166,0.0001454545454545
46,authority,5.582226191805292e-05,0.000290909090909
47,availability,8.373339287707937e-05,0.0007272727272727
48,average,0.0002232890476722,0.0001454545454545
49,awareness,8.373339287707937e-05,0.0001454545454545
50,balance,0.0001395556547951,0.0005818181818181
51,balances,5.582226191805292e-05,0.000290909090909
52,banks,2.791113095902646e-05,0.0004363636363636
53,baseline,0.0003070224405492,0.0010181818181818
54,basis,0.0008931561906888,0.0023272727272727
55,behalf,2.791113095902646e-05,0.0001454545454545
56,behaviour,5.582226191805292e-05,0.0001454545454545
57,benchmark,2.791113095902646e-05,0.0001454545454545
58,benefit,0.0003349335715083,0.0001454545454545
59,benefits,0.0007815116668527,0.000290909090909
60,billion,2.791113095902646e-05,0.0001454545454545
61,biodiversity,0.0009210673216478,0.000290909090909
62,board,0.0015351122027464,0.0001454545454545
63,bodies,0.00114435636932,0.0008727272727272
64,body,0.0003070224405492,0.0144
65,boundaries,0.0002512001786312,0.0001454545454545
66,budget,2.791113095902646e-05,0.0005818181818181
67,budgets,0.0002791113095902,0.0001454545454545
68,building,0.0001395556547951,0.0001454545454545
69,business,0.0033214245841241,0.0004363636363636
70,businesses,0.0002791113095902,0.000290909090909
71,calculate,5.582226191805292e-05,0.0001454545454545
72,calculation,2.791113095902646e-05,0.000290909090909
73,calculation,0.0003349335715083,0.000290909090909
74,calls,5.582226191805292e-05,0.0005818181818181
75,capabilities,0.0001116445238361,0.000290909090909
76,capacity,0.0003907558334263,0.0007272727272727
77,carbon,0.0008652450597298,0.0008727272727272
78,case,0.0001395556547951,0.0004363636363636
79,categories,0.0003349335715083,0.000290909090909
80,cent,2.791113095902646e-05,0.0008727272727272
81,centralized,5.582226191805292e-05,0.0005818181818181
82,centre,2.791113095902646e-05,0.0001454545454545
83,certification,0.0003349335715083,0.0007272727272727
84,chair,0.0001674667857541,0.0005818181818181
85,challenges,2.791113095902646e-05,0.0001454545454545
86,change,0.0008931561906888,0.008290909090909
87,changes,0.0010048007145249,0.0001454545454545
88,children,0.0009210673216478,0.0014545454545454
89,clean,2.791113095902646e-05,0.0004363636363636
90,climate,0.0024840906553533,0.0096
91,coal,0.0002512001786312,0.0001454545454545
92,collaboration,0.0002232890476722,0.0008727272727272
93,commence,2.791113095902646e-05,0.0001454545454545
94,commitments,0.0001953779167131,0.000290909090909
95,committee,0.0014234676789103,0.0017454545454545
96,communications,0.0002232890476722,0.0005818181818181
97,communities,2.791113095902646e-05,0.0024727272727272
98,communities,0.0012001786312381,0.0024727272727272
99,community,0.0004186669643853,0.0001454545454545
100,comparability,5.582226191805292e-05,0.000290909090909
101,completeness,5.582226191805292e-05,0.0001454545454545
102,completion,8.373339287707937e-05,0.0001454545454545
103,compliance,0.0015909344646645,0.0001454545454545
104,composition,8.373339287707937e-05,0.000290909090909
105,comprehensive,0.0004465780953444,0.0001454545454545
106,concept,0.0002232890476722,0.0001454545454545
107,concerns,0.0001674667857541,0.000290909090909
108,conditions,0.0011722675002791,0.0004363636363636
109,conference,0.0003628447024673,0.0052363636363636
110,conflicts,0.0001395556547951,0.0001454545454545
111,conjunction,2.791113095902646e-05,0.0005818181818181
112,conservation,0.0003349335715083,0.0001454545454545
113,consideration,0.0001116445238361,0.0042181818181818
114,consistency,2.791113095902646e-05,0.0016
115,consultation,0.0001395556547951,0.0004363636363636
116,contact,5.582226191805292e-05,0.0001454545454545
117,contents,2.791113095902646e-05,0.0001454545454545
118,context,0.0001116445238361,0.0013090909090909
119,contribute,2.791113095902646e-05,0.0004363636363636
120,contribution,0.0020096014290499,0.0014545454545454
121,contributions,8.373339287707937e-05,0.0030545454545454
122,conversion,8.373339287707937e-05,0.0004363636363636
123,cooperation,0.0017025789885006,0.0007272727272727
124,coordinate,0.0001116445238361,0.0001454545454545
125,coordination,0.0002512001786312,0.0011636363636363
126,coronavirus,0.0003070224405492,0.0001454545454545
127,costs,0.0003349335715083,0.0010181818181818
128,counting,2.791113095902646e-05,0.000290909090909
129,countries,0.0014234676789103,0.001890909090909
130,country,0.0002232890476722,0.0059636363636363
131,course,0.0003349335715083,0.0001454545454545
132,creation,0.0002512001786312,0.0005818181818181
133,culture,0.0005582226191805,0.0001454545454545
134,cycle,0.0002232890476722,0.0007272727272727
135,damage,0.0001674667857541,0.0017454545454545
136,data,0.0011722675002791,0.0004363636363636
137,date,8.373339287707937e-05,0.0004363636363636
138,december,0.001060622976443,0.0007272727272727
139,decent,0.0001674667857541,0.0005818181818181
140,decision,5.582226191805292e-05,0.0117818181818181
141,decision-making,0.0001116445238361,0.000290909090909
142,decisions,0.0003070224405492,0.005090909090909
143,defines,2.791113095902646e-05,0.0001454545454545
144,definitions,2.791113095902646e-05,0.0001454545454545
145,delivery,2.791113095902646e-05,0.0013090909090909
146,demand,0.0002791113095902,0.0001454545454545
147,description,0.0001116445238361,0.000290909090909
148,design,0.0003628447024673,0.0005818181818181
149,determination,2.791113095902646e-05,0.000290909090909
150,develop,0.0001395556547951,0.0004363636363636
151,development,0.0077592944066093,0.0104727272727272
152,dialogue,0.002121245952886,0.0004363636363636
153,dioxide,0.0001116445238361,0.0007272727272727
154,disabilities,0.0003628447024673,0.0011636363636363
155,discussions,8.373339287707937e-05,0.0001454545454545
156,disease,8.373339287707937e-05,0.000290909090909
157,dissemination,2.791113095902646e-05,0.0001454545454545
158,document,0.0003907558334263,0.0001454545454545
159,documents,0.0010327118454839,0.000290909090909
160,draft,0.0002232890476722,0.0001454545454545
161,duration,0.0002512001786312,0.000290909090909
162,economies,2.791113095902646e-05,0.0001454545454545
163,economy,0.0010327118454839,0.0001454545454545
164,ecosystems,0.0002232890476722,0.000290909090909
165,effect,0.0003070224405492,0.0005818181818181
166,effectiveness,5.582226191805292e-05,0.0001454545454545
167,effects,5.582226191805292e-05,0.0023272727272727
168,efficiency,0.0020375125600089,0.0001454545454545
169,effort,2.791113095902646e-05,0.0001454545454545
170,efforts,0.0009768895835659,0.001890909090909
171,elaboration,2.791113095902646e-05,0.000290909090909
172,elements,2.791113095902646e-05,0.0001454545454545
173,emission,0.0001116445238361,0.0075636363636363
174,emissions,0.0041029362509768,0.008
175,end,0.0009210673216478,0.0010181818181818
176,energy,0.0102154739310036,0.0004363636363636
177,engagement,0.0013955565479513,0.0001454545454545
178,enhance,0.0001116445238361,0.0010181818181818
179,enhancement,0.0001395556547951,0.0001454545454545
180,ensure,0.0003628447024673,0.000290909090909
181,ensures,8.373339287707937e-05,0.0001454545454545
182,ensuring,2.791113095902646e-05,0.0001454545454545
183,entities,0.0033493357150831,0.0026181818181818
184,entity,0.0001395556547951,0.0013090909090909
185,environment,0.0018142235123367,0.0004363636363636
186,environments,0.0002512001786312,0.0001454545454545
187,equality,0.0001674667857541,0.0013090909090909
188,equivalent,0.0005024003572624,0.000290909090909
189,estimate,2.791113095902646e-05,0.0001454545454545
190,events,0.0008931561906888,0.0001454545454545
191,exceeds,2.791113095902646e-05,0.0001454545454545
192,executive,0.0001953779167131,0.0004363636363636
193,expenses,0.0008652450597298,0.001890909090909
194,experience,8.373339287707937e-05,0.0001454545454545
195,expert,0.0003628447024673,0.0023272727272727
196,expertise,8.373339287707937e-05,0.0001454545454545
197,experts,0.0002232890476722,0.0005818181818181
198,explanation,2.791113095902646e-05,0.0004363636363636
199,facilitate,5.582226191805292e-05,0.000290909090909
200,facility,0.0002232890476722,0.0004363636363636
201,factor,0.0001116445238361,0.0001454545454545
202,factors,0.0003907558334263,0.0001454545454545
203,february,0.0003628447024673,0.0001454545454545
204,finance,0.0001395556547951,0.0045090909090909
205,financial,0.0005861337501395,0.0004363636363636
206,financing,0.0001116445238361,0.0001454545454545
207,findings,2.791113095902646e-05,0.0004363636363636
208,first,0.0001674667857541,0.0001454545454545
209,flows,2.791113095902646e-05,0.0005818181818181
210,focus,0.0002232890476722,0.0007272727272727
211,forests,8.373339287707937e-05,0.000290909090909
212,form,0.0002791113095902,0.000290909090909
213,format,8.373339287707937e-05,0.0004363636363636
214,forms,0.0003907558334263,0.0004363636363636
215,forum,0.0003628447024673,0.0004363636363636
216,fossil,5.582226191805292e-05,0.0001454545454545
217,fosters,2.791113095902646e-05,0.0001454545454545
218,frames,2.791113095902646e-05,0.0001454545454545
219,framework,0.0005024003572624,0.0040727272727272
220,frameworks,2.791113095902646e-05,0.0001454545454545
221,frequency,0.0001395556547951,0.0001454545454545
222,fuel,0.0039075583342637,0.0001454545454545
223,functions,0.0001395556547951,0.0010181818181818
224,fund,8.373339287707937e-05,0.0020363636363636
225,funding,5.582226191805292e-05,0.000290909090909
226,funds,0.0001674667857541,0.0010181818181818
227,future,0.0001953779167131,0.0005818181818181
228,gas,0.0166350340515797,0.0017454545454545
229,gases,0.0001395556547951,0.000290909090909
230,generation,0.0017584012504186,0.0001454545454545
231,ghg,0.0024003572624762,0.0010181818181818
232,global,0.0002512001786312,0.0005818181818181
233,goal,0.0004744892263034,0.0021818181818181
234,goals,0.0019816902980908,0.0017454545454545
235,governance,0.0011722675002791,0.0007272727272727
236,government,0.0012280897621971,0.0001454545454545
237,governments,0.0001953779167131,0.0001454545454545
238,grants,2.791113095902646e-05,0.0001454545454545
239,greenhouse,0.0005861337501395,0.0017454545454545
240,group,0.0332142458412414,0.0008727272727272
241,group,0.0001116445238361,0.0008727272727272
242,groups,0.0007536005358937,0.0004363636363636
243,guidance,0.0002791113095902,0.0048
244,guidelines,0.0003349335715083,0.0008727272727272
245,heads,0.0001116445238361,0.0001454545454545
246,health,0.0019537791671318,0.0011636363636363
247,help,0.0001116445238361,0.0001454545454545
248,holdings,5.582226191805292e-05,0.0001454545454545
249,https,0.0004186669643853,0.0010181818181818
250,https,0.0013118231550742,0.0010181818181818
251,identification,0.0004465780953444,0.0008727272727272
252,identifying,5.582226191805292e-05,0.0004363636363636
253,impact,0.0013955565479513,0.0001454545454545
254,impacts,0.0008931561906888,0.0029090909090909
255,implement,0.0001953779167131,0.0004363636363636
256,implementation,0.0019537791671318,0.0125090909090909
257,implications,0.0002232890476722,0.0008727272727272
258,importance,0.0003349335715083,0.0020363636363636
259,improvement,0.0006698671430166,0.0001454545454545
260,improvements,8.373339287707937e-05,0.000290909090909
261,incentives,5.582226191805292e-05,0.0001454545454545
262,include,5.582226191805292e-05,0.0001454545454545
263,inclusion,5.582226191805292e-05,0.0001454545454545
264,inclusivity,5.582226191805292e-05,0.0001454545454545
265,incorporation,2.791113095902646e-05,0.0001454545454545
266,increase,0.0003628447024673,0.0017454545454545
267,indicator,0.0014792899408284,0.0008727272727272
268,indicators,2.791113095902646e-05,0.0001454545454545
269,indicators,0.0015909344646645,0.0001454545454545
270,indigenous,0.0002512001786312,0.0001454545454545
271,information,0.0033214245841241,0.009890909090909
272,information,2.791113095902646e-05,0.009890909090909
273,infrastructure,0.002177068214804,0.0004363636363636
274,initiative,0.0001953779167131,0.000290909090909
275,initiatives,0.001116445238361,0.0005818181818181
276,innovation,0.0001953779167131,0.0001454545454545
277,input,2.791113095902646e-05,0.0001454545454545
278,inputs,2.791113095902646e-05,0.000290909090909
279,institutions,0.001116445238361,0.0010181818181818
280,instructions,5.582226191805292e-05,0.0001454545454545
281,instruments,2.791113095902646e-05,0.000290909090909
282,integrated,0.0005303114882215,0.0001454545454545
283,integrity,0.0001674667857541,0.0005818181818181
284,inter,5.582226191805292e-05,0.0011636363636363
285,interest,0.0004465780953444,0.0005818181818181
286,intergovernmental,2.791113095902646e-05,0.0011636363636363
287,international,0.0008094227978117,0.0004363636363636
288,inventory,5.582226191805292e-05,0.0001454545454545
289,investments,0.0010327118454839,0.0001454545454545
290,island,8.373339287707937e-05,0.000290909090909
291,issue,0.0001395556547951,0.0001454545454545
292,issues,0.0004186669643853,0.0001454545454545
293,january,0.0005303114882215,0.0001454545454545
294,jobs,0.0002512001786312,0.0005818181818181
295,june,0.0003907558334263,0.0008727272727272
296,justice,2.791113095902646e-05,0.0001454545454545
297,knowledge,0.0003070224405492,0.0004363636363636
298,law,0.0004186669643853,0.0001454545454545
299,leaders,5.582226191805292e-05,0.000290909090909
300,leadership,0.0001395556547951,0.0001454545454545
301,least,2.791113095902646e-05,0.0004363636363636
302,legislation,0.0004744892263034,0.0001454545454545
303,lessons,2.791113095902646e-05,0.0004363636363636
304,level,0.0005582226191805,0.0021818181818181
305,levels,0.0004744892263034,0.0011636363636363
306,limits,0.0001116445238361,0.0005818181818181
307,line,0.00114435636932,0.0008727272727272
308,loss,0.0003349335715083,0.0017454545454545
309,low-emission,2.791113095902646e-05,0.0001454545454545
310,maintain,8.373339287707937e-05,0.0004363636363636
311,majority,0.0001395556547951,0.0001454545454545
312,make,2.791113095902646e-05,0.0001454545454545
313,management,0.0104666741096349,0.0001454545454545
314,management,2.791113095902646e-05,0.0001454545454545
315,manner,5.582226191805292e-05,0.0023272727272727
316,mapping,2.791113095902646e-05,0.0001454545454545
317,march,0.0002232890476722,0.0004363636363636
318,marine,0.0003070224405492,0.0001454545454545
319,matter,8.373339287707937e-05,0.000290909090909
320,matters,0.0003070224405492,0.0005818181818181
321,may,0.0003070224405492,0.0001454545454545
322,means,2.791113095902646e-05,0.000290909090909
323,measures,5.582226191805292e-05,0.0024727272727272
324,measures,0.0025120017863123,0.0024727272727272
325,mechanism,0.0001116445238361,0.0126545454545454
326,mechanisms,0.0003070224405492,0.000290909090909
327,meet,0.0001674667857541,0.0014545454545454
328,meeting,0.0002791113095902,0.0072727272727272
329,meetings,0.0007815116668527,0.0011636363636363
330,meets,0.0001116445238361,0.0001454545454545
331,member,8.373339287707937e-05,0.0016
332,members,0.0007815116668527,0.0052363636363636
333,membership,8.373339287707937e-05,0.000290909090909
334,methane,0.0005582226191805,0.0001454545454545
335,method,0.0002232890476722,0.0010181818181818
336,methodology,0.0004744892263034,0.0008727272727272
337,methods,0.0003070224405492,0.0005818181818181
338,metrics,0.0002232890476722,0.0014545454545454
339,minimize,2.791113095902646e-05,0.0005818181818181
340,minimum,2.791113095902646e-05,0.0001454545454545
341,mitigation,0.0001953779167131,0.0196363636363636
342,monitoring,0.00114435636932,0.0011636363636363
343,names,0.0001395556547951,0.0001454545454545
344,nations,0.0001674667857541,0.0005818181818181
345,nature,0.0001953779167131,0.000290909090909
346,need,2.791113095902646e-05,0.0004363636363636
347,needs,0.0005861337501395,0.0014545454545454
348,negative,5.582226191805292e-05,0.0001454545454545
349,network,0.0002791113095902,0.0008727272727272
350,nomination,2.791113095902646e-05,0.0001454545454545
351,non-state,2.791113095902646e-05,0.0001454545454545
352,note,0.0001116445238361,0.0007272727272727
353,notes,2.791113095902646e-05,0.0014545454545454
354,november,0.0002791113095902,0.0017454545454545
355,number,0.0038238249413866,0.0005818181818181
356,objectives,0.0002232890476722,0.000290909090909
357,obligations,0.0004744892263034,0.0014545454545454
358,observers,2.791113095902646e-05,0.000290909090909
359,october,0.0003628447024673,0.0001454545454545
360,office,0.0002232890476722,0.000290909090909
361,operating,0.0001395556547951,0.0001454545454545
362,operation,0.0015630233337054,0.0010181818181818
363,operations,0.0029864910126158,0.0001454545454545
364,opportunities,0.0007536005358937,0.0004363636363636
365,option,5.582226191805292e-05,0.0001454545454545
366,options,8.373339287707937e-05,0.0010181818181818
367,order,0.0017863123813776,0.0013090909090909
368,organization,0.0005582226191805,0.000290909090909
369,organizations,0.001088534107402,0.0011636363636363
370,outcome,8.373339287707937e-05,0.0020363636363636
371,outcomes,8.373339287707937e-05,0.0029090909090909
372,outlines,2.791113095902646e-05,0.0004363636363636
373,overview,0.0002232890476722,0.0001454545454545
374,package,0.0001395556547951,0.0001454545454545
375,page,0.0012001786312381,0.0001454545454545
376,pandemic,0.0007815116668527,0.0001454545454545
377,pandemic,2.791113095902646e-05,0.0001454545454545
378,panel,8.373339287707937e-05,0.0013090909090909
379,papers,2.791113095902646e-05,0.0001454545454545
380,parameters,0.0001116445238361,0.0001454545454545
381,paris,5.582226191805292e-05,0.0183272727272727
382,part,0.0024003572624762,0.001890909090909
383,participants,0.0002512001786312,0.0017454545454545
384,participates,2.791113095902646e-05,0.000290909090909
385,participation,0.0004465780953444,0.0043636363636363
386,parties,0.0005024003572624,0.0304
387,partnership,0.001116445238361,0.0001454545454545
388,partnership,2.791113095902646e-05,0.0001454545454545
389,partnerships,0.0001116445238361,0.0001454545454545
390,people,0.0023445350005582,0.0013090909090909
391,peoples,0.0003349335715083,0.0021818181818181
392,percentage,0.0003070224405492,0.0001454545454545
393,perform,2.791113095902646e-05,0.0001454545454545
394,period,0.0013397342860332,0.0052363636363636
395,periods,0.0001116445238361,0.0026181818181818
396,persons,0.0005582226191805,0.0011636363636363
397,physical,8.373339287707937e-05,0.0001454545454545
398,place,0.0008094227978117,0.0005818181818181
399,plan,0.0007536005358937,0.000290909090909
400,planning,0.0005024003572624,0.0001454545454545
401,plans,0.0008094227978117,0.0010181818181818
402,platform,0.0002232890476722,0.0024727272727272
403,policies,0.0004465780953444,0.0014545454545454
404,policy,0.0029585798816568,0.0001454545454545
405,portal,5.582226191805292e-05,0.0001454545454545
406,poverty,5.582226191805292e-05,0.0011636363636363
407,power,0.0023445350005582,0.000290909090909
408,practice,5.582226191805292e-05,0.000290909090909
409,practices,0.0003907558334263,0.000290909090909
410,predictability,5.582226191805292e-05,0.0001454545454545
411,prepare,2.791113095902646e-05,0.000290909090909
412,press,0.0001116445238361,0.0001454545454545
413,principle,0.0001395556547951,0.0001454545454545
414,principles,0.0008373339287707,0.000290909090909
415,priorities,0.0002232890476722,0.0008727272727272
416,procedure,0.0009489784526068,0.000290909090909
417,procedures,0.0003907558334263,0.0036363636363636
418,proceeds,2.791113095902646e-05,0.0032
419,process,0.0035447136317963,0.0008727272727272
420,processes,0.0003907558334263,0.0008727272727272
421,progress,0.0004186669643853,0.0016
422,project,0.0020654236909679,0.0010181818181818
423,projects,0.0036005358937144,0.000290909090909
424,promote,0.0003349335715083,0.000290909090909
425,protection,0.0036842692865914,0.0001454545454545
426,protection,5.582226191805292e-05,0.0001454545454545
427,protocol,2.791113095902646e-05,0.0005818181818181
428,provide,0.0001674667857541,0.0005818181818181
429,provision,0.0001395556547951,0.0016
430,provisions,0.0003907558334263,0.0010181818181818
431,proximity,2.791113095902646e-05,0.0001454545454545
432,publishing,5.582226191805292e-05,0.0001454545454545
433,purpose,0.0001116445238361,0.0004363636363636
434,purposes,0.0003628447024673,0.0042181818181818
435,pursuant,8.373339287707937e-05,0.0020363636363636
436,quality,0.002177068214804,0.0008727272727272
437,quantification,2.791113095902646e-05,0.000290909090909
438,quantity,5.582226191805292e-05,0.0014545454545454
439,range,0.0002232890476722,0.0001454545454545
440,reasons,0.0001395556547951,0.0001454545454545
441,recognition,2.791113095902646e-05,0.0001454545454545
442,recommendations,0.001116445238361,0.0027636363636363
443,record,5.582226191805292e-05,0.0001454545454545
444,records,0.0002791113095902,0.0001454545454545
445,recovery,0.0001116445238361,0.0001454545454545
446,reduction,0.0014234676789103,0.0001454545454545
447,reduction,2.791113095902646e-05,0.0001454545454545
448,reference,0.0012001786312381,0.0005818181818181
449,refers,2.791113095902646e-05,0.0007272727272727
450,reflect,8.373339287707937e-05,0.0001454545454545
451,regard,8.373339287707937e-05,0.000290909090909
452,region,0.0015351122027464,0.0001454545454545
453,regions,0.0026236463101484,0.000290909090909
454,register,0.0001674667857541,0.0001454545454545
455,registration,2.791113095902646e-05,0.0008727272727272
456,regular,2.791113095902646e-05,0.0001454545454545
457,regulation,0.0010048007145249,0.0001454545454545
458,relation,8.373339287707937e-05,0.0027636363636363
459,relevant,0.0001395556547951,0.0013090909090909
460,replacement,0.0001395556547951,0.0004363636363636
461,replenishment,0.0001395556547951,0.0001454545454545
462,report,2.791113095902646e-05,0.0046545454545454
463,report,0.0169978787540471,0.0046545454545454
464,reporting,0.0013397342860332,0.0016
465,reports,0.0005303114882215,0.001890909090909
466,request,2.791113095902646e-05,0.0005818181818181
467,requests,0.0001395556547951,0.003490909090909
468,requirements,0.0015351122027464,0.0049454545454545
469,research,0.0008094227978117,0.000290909090909
470,reserve,0.0001116445238361,0.0001454545454545
471,resilience,5.582226191805292e-05,0.000290909090909
472,resources,0.0019537791671318,0.0024727272727272
473,respect,0.0001395556547951,0.0017454545454545
474,response,0.0005861337501395,0.0011636363636363
475,responsibilities,8.373339287707937e-05,0.0008727272727272
476,result,0.0005582226191805,0.0001454545454545
477,results,0.0010327118454839,0.000290909090909
478,retirement,5.582226191805292e-05,0.0001454545454545
479,review,0.0001953779167131,0.0061090909090909
480,reviews,2.791113095902646e-05,0.0007272727272727
481,revisions,2.791113095902646e-05,0.000290909090909
482,rights,0.0015072010717874,0.0026181818181818
483,risk,0.0030423132745338,0.0005818181818181
484,robust,2.791113095902646e-05,0.0004363636363636
485,role,0.0001953779167131,0.0011636363636363
486,round,5.582226191805292e-05,0.0001454545454545
487,rules,0.0002232890476722,0.0039272727272727
488,scale,0.0001674667857541,0.0005818181818181
489,scenario,5.582226191805292e-05,0.000290909090909
490,schedule,0.0001395556547951,0.000290909090909
491,science,0.0002232890476722,0.0007272727272727
492,scientific,2.791113095902646e-05,0.0021818181818181
493,sector,0.0002791113095902,0.0014545454545454
494,sectors,8.373339287707937e-05,0.0008727272727272
495,selection,0.0001116445238361,0.0001454545454545
496,service,0.0004465780953444,0.0001454545454545
497,services,0.0017584012504186,0.000290909090909
498,sessions,8.373339287707937e-05,0.000290909090909
499,set,0.0002791113095902,0.0001454545454545
500,share,0.0025678240482304,0.0032
501,share,2.791113095902646e-05,0.0032
502,situations,2.791113095902646e-05,0.0011636363636363
503,society,0.002149157083845,0.0011636363636363
504,solutions,0.0005582226191805,0.0001454545454545
505,source,0.0001395556547951,0.0001454545454545
506,sources,0.0007815116668527,0.0020363636363636
507,specific,2.791113095902646e-05,0.0001454545454545
508,specifications,2.791113095902646e-05,0.0001454545454545
509,stakeholder,0.0015351122027464,0.0001454545454545
510,stakeholders,0.0013676454169922,0.0023272727272727
511,standards,0.0013676454169922,0.0004363636363636
512,standing,2.791113095902646e-05,0.000290909090909
513,state,2.791113095902646e-05,0.0004363636363636
514,state,0.0012001786312381,0.0004363636363636
515,statement,8.373339287707937e-05,0.0001454545454545
516,states,8.373339287707937e-05,0.0010181818181818
517,strategies,0.0001953779167131,0.0007272727272727
518,strategy,0.0009489784526068,0.0008727272727272
519,strategy,2.791113095902646e-05,0.0008727272727272
520,strengthen,0.0001395556547951,0.0004363636363636
521,studies,0.0003070224405492,0.0001454545454545
522,subject,2.791113095902646e-05,0.0001454545454545
523,submission,5.582226191805292e-05,0.000290909090909
524,submissions,2.791113095902646e-05,0.0008727272727272
525,subsidiary,0.0002791113095902,0.0027636363636363
526,subsidies,8.373339287707937e-05,0.0001454545454545
527,summit,5.582226191805292e-05,0.0001454545454545
528,supervision,5.582226191805292e-05,0.0005818181818181
529,supervisory,8.373339287707937e-05,0.0116363636363636
530,support,0.002177068214804,0.0048
531,sustainability,0.0092944066093558,0.0001454545454545
532,sustainability,2.791113095902646e-05,0.0001454545454545
533,synergies,2.791113095902646e-05,0.0008727272727272
534,systems,0.001088534107402,0.000290909090909
535,tables,2.791113095902646e-05,0.000290909090909
536,takes,2.791113095902646e-05,0.0007272727272727
537,target,0.0023166238695991,0.0004363636363636
538,targets,0.0013955565479513,0.000290909090909
539,team,0.0001953779167131,0.0010181818181818
540,teams,2.791113095902646e-05,0.0001454545454545
541,technical,0.0002232890476722,0.0001454545454545
542,technological,0.0003070224405492,0.0021818181818181
543,technologies,0.001060622976443,0.0004363636363636
544,technology,0.0004744892263034,0.0020363636363636
545,temperature,0.0001395556547951,0.001890909090909
546,temperatures,8.373339287707937e-05,0.000290909090909
547,term,0.0001395556547951,0.0013090909090909
548,terms,0.0004465780953444,0.0010181818181818
549,threat,2.791113095902646e-05,0.000290909090909
550,time,0.0005861337501395,0.0008727272727272
551,tool,0.0001395556547951,0.0001454545454545
552,tools,8.373339287707937e-05,0.0004363636363636
553,total,0.0006977782739756,0.0001454545454545
554,towards,8.373339287707937e-05,0.0058181818181818
555,track,2.791113095902646e-05,0.0004363636363636
556,transaction,2.791113095902646e-05,0.0001454545454545
557,transactions,2.791113095902646e-05,0.0001454545454545
558,transfer,2.791113095902646e-05,0.0039272727272727
559,transition,0.0004186669643853,0.0020363636363636
560,transparency,0.0002791113095902,0.003490909090909
561,trust,5.582226191805292e-05,0.0007272727272727
562,type,0.0004186669643853,0.000290909090909
563,uncertainties,2.791113095902646e-05,0.000290909090909
564,united,0.0001674667857541,0.0005818181818181
565,university,0.0010048007145249,0.0001454545454545
566,usd,2.791113095902646e-05,0.000290909090909
567,use,0.0016467567265825,0.0046545454545454
568,users,5.582226191805292e-05,0.000290909090909
569,value,0.0008373339287707,0.0001454545454545
570,view,5.582226191805292e-05,0.0008727272727272
571,volume,0.0004744892263034,0.0001454545454545
572,voting,2.791113095902646e-05,0.0001454545454545
573,way,0.0003349335715083,0.000290909090909
574,ways,0.0001116445238361,0.0005818181818181
575,weather,0.0001116445238361,0.000290909090909
576,women,0.0004465780953444,0.0014545454545454
577,work,0.0012839120241152,0.0065454545454545
578,working,5.582226191805292e-05,0.0004363636363636
579,workshop,8.373339287707937e-05,0.0005818181818181
580,workshops,2.791113095902646e-05,0.0001454545454545
581,world,0.0005303114882215,0.0004363636363636
582,year,0.0019258680361728,0.0040727272727272
583,years,0.0005861337501395,0.0016
584,youth,0.0002232890476722,0.0004363636363636
585,zone,0.0001953779167131,0.0001454545454545
